time,node_id,vehicles_in_range
147.0,rsu1,3
147.0,rsu2,0
147.0,rsu3,0
147.0,rsu4,0
147.0,rsu5,1
147.0,edge1,8
147.0,edge2,1
148.0,rsu1,3
148.0,rsu2,0
148.0,rsu3,0
148.0,rsu4,0
148.0,rsu5,1
148.0,edge1,7
148.0,edge2,1
149.0,rsu1,3
149.0,rsu2,0
149.0,rsu3,0
149.0,rsu4,0
149.0,rsu5,1
149.0,edge1,7
149.0,edge2,1
150.0,rsu1,3
150.0,rsu2,0
150.0,rsu3,0
150.0,rsu4,0
150.0,rsu5,1
150.0,edge1,7
150.0,edge2,2
151.0,rsu1,3
151.0,rsu2,0
151.0,rsu3,0
151.0,rsu4,0
151.0,rsu5,1
151.0,edge1,8
151.0,edge2,3
152.0,rsu1,2
152.0,rsu2,0
152.0,rsu3,0
152.0,rsu4,0
152.0,rsu5,2
152.0,edge1,8
152.0,edge2,2
153.0,rsu1,2
153.0,rsu2,0
153.0,rsu3,0
153.0,rsu4,0
153.0,rsu5,2
153.0,edge1,8
153.0,edge2,2
154.0,rsu1,2
154.0,rsu2,0
154.0,rsu3,0
154.0,rsu4,0
154.0,rsu5,2
154.0,edge1,8
154.0,edge2,2
155.0,rsu1,2
155.0,rsu2,1
155.0,rsu3,1
155.0,rsu4,0
155.0,rsu5,1
155.0,edge1,8
155.0,edge2,2
156.0,rsu1,2
156.0,rsu2,1
156.0,rsu3,1
156.0,rsu4,0
156.0,rsu5,1
156.0,edge1,8
156.0,edge2,3
157.0,rsu1,2
157.0,rsu2,1
157.0,rsu3,2
157.0,rsu4,0
157.0,rsu5,1
157.0,edge1,8
157.0,edge2,3
158.0,rsu1,2
158.0,rsu2,1
158.0,rsu3,2
158.0,rsu4,0
158.0,rsu5,1
158.0,edge1,8
158.0,edge2,3
159.0,rsu1,2
159.0,rsu2,1
159.0,rsu3,2
159.0,rsu4,0
159.0,rsu5,1
159.0,edge1,8
159.0,edge2,3
160.0,rsu1,3
160.0,rsu2,1
160.0,rsu3,2
160.0,rsu4,0
160.0,rsu5,1
160.0,edge1,8
160.0,edge2,3
161.0,rsu1,3
161.0,rsu2,2
161.0,rsu3,2
161.0,rsu4,0
161.0,rsu5,1
161.0,edge1,9
161.0,edge2,3
162.0,rsu1,3
162.0,rsu2,2
162.0,rsu3,2
162.0,rsu4,0
162.0,rsu5,1
162.0,edge1,9
162.0,edge2,3
163.0,rsu1,2
163.0,rsu2,2
163.0,rsu3,2
163.0,rsu4,0
163.0,rsu5,1
163.0,edge1,9
163.0,edge2,3
164.0,rsu1,2
164.0,rsu2,2
164.0,rsu3,2
164.0,rsu4,0
164.0,rsu5,1
164.0,edge1,9
164.0,edge2,3
165.0,rsu1,2
165.0,rsu2,2
165.0,rsu3,2
165.0,rsu4,0
165.0,rsu5,0
165.0,edge1,9
165.0,edge2,3
166.0,rsu1,2
166.0,rsu2,2
166.0,rsu3,2
166.0,rsu4,0
166.0,rsu5,0
166.0,edge1,9
166.0,edge2,4
167.0,rsu1,2
167.0,rsu2,1
167.0,rsu3,2
167.0,rsu4,0
167.0,rsu5,0
167.0,edge1,9
167.0,edge2,4
168.0,rsu1,2
168.0,rsu2,1
168.0,rsu3,2
168.0,rsu4,0
168.0,rsu5,0
168.0,edge1,9
168.0,edge2,4
169.0,rsu1,2
169.0,rsu2,1
169.0,rsu3,2
169.0,rsu4,0
169.0,rsu5,0
169.0,edge1,9
169.0,edge2,4
170.0,rsu1,2
170.0,rsu2,1
170.0,rsu3,2
170.0,rsu4,0
170.0,rsu5,0
170.0,edge1,9
170.0,edge2,4
171.0,rsu1,2
171.0,rsu2,1
171.0,rsu3,2
171.0,rsu4,0
171.0,rsu5,0
171.0,edge1,10
171.0,edge2,4
172.0,rsu1,2
172.0,rsu2,1
172.0,rsu3,1
172.0,rsu4,0
172.0,rsu5,0
172.0,edge1,10
172.0,edge2,3
173.0,rsu1,2
173.0,rsu2,1
173.0,rsu3,1
173.0,rsu4,0
173.0,rsu5,0
173.0,edge1,9
173.0,edge2,2
174.0,rsu1,2
174.0,rsu2,1
174.0,rsu3,1
174.0,rsu4,0
174.0,rsu5,0
174.0,edge1,9
174.0,edge2,2
175.0,rsu1,2
175.0,rsu2,0
175.0,rsu3,1
175.0,rsu4,0
175.0,rsu5,0
175.0,edge1,9
175.0,edge2,2
176.0,rsu1,2
176.0,rsu2,0
176.0,rsu3,1
176.0,rsu4,0
176.0,rsu5,0
176.0,edge1,9
176.0,edge2,2
177.0,rsu1,2
177.0,rsu2,0
177.0,rsu3,1
177.0,rsu4,0
177.0,rsu5,0
177.0,edge1,9
177.0,edge2,2
178.0,rsu1,2
178.0,rsu2,0
178.0,rsu3,1
178.0,rsu4,0
178.0,rsu5,0
178.0,edge1,9
178.0,edge2,2
179.0,rsu1,2
179.0,rsu2,0
179.0,rsu3,1
179.0,rsu4,0
179.0,rsu5,0
179.0,edge1,9
179.0,edge2,2
180.0,rsu1,2
180.0,rsu2,0
180.0,rsu3,1
180.0,rsu4,0
180.0,rsu5,0
180.0,edge1,9
180.0,edge2,2
181.0,rsu1,1
181.0,rsu2,1
181.0,rsu3,1
181.0,rsu4,0
181.0,rsu5,0
181.0,edge1,9
181.0,edge2,2
182.0,rsu1,1
182.0,rsu2,1
182.0,rsu3,1
182.0,rsu4,0
182.0,rsu5,0
182.0,edge1,9
182.0,edge2,1
183.0,rsu1,1
183.0,rsu2,1
183.0,rsu3,0
183.0,rsu4,0
183.0,rsu5,0
183.0,edge1,9
183.0,edge2,1
184.0,rsu1,1
184.0,rsu2,1
184.0,rsu3,0
184.0,rsu4,0
184.0,rsu5,0
184.0,edge1,9
184.0,edge2,1
185.0,rsu1,1
185.0,rsu2,1
185.0,rsu3,0
185.0,rsu4,0
185.0,rsu5,0
185.0,edge1,9
185.0,edge2,1
186.0,rsu1,1
186.0,rsu2,1
186.0,rsu3,1
